"Step","edited_3_books_200 - train_loss","edited_3_books_200 - train_loss__MIN","edited_3_books_200 - train_loss__MAX","normal_books_200 - train_loss","normal_books_200 - train_loss__MIN","normal_books_200 - train_loss__MAX"
"1","13.23937026977539","13.23937026977539","13.23937026977539","9.775227947235107","9.775227947235107","9.775227947235107"
"4","10.102162189483643","10.102162189483643","10.102162189483643","8.172953453063965","8.172953453063965","8.172953453063965"
"7","9.332472248077393","9.332472248077393","9.332472248077393","7.664995365142822","7.664995365142822","7.664995365142822"
"10","8.102483825683594","8.102483825683594","8.102483825683594","7.3899673652648925","7.3899673652648925","7.3899673652648925"
"13","7.780106735229492","7.780106735229492","7.780106735229492","7.25890733718872","7.25890733718872","7.25890733718872"
"16","7.186715679168701","7.186715679168701","7.186715679168701","7.147481689453125","7.147481689453125","7.147481689453125"
"19","6.932546405792237","6.932546405792237","6.932546405792237","6.954224624633789","6.954224624633789","6.954224624633789"
"22","6.837159824371338","6.837159824371338","6.837159824371338","6.851430015563965","6.851430015563965","6.851430015563965"
"25","6.830205593109131","6.830205593109131","6.830205593109131","6.842575798034668","6.842575798034668","6.842575798034668"
"28","6.582994537353516","6.582994537353516","6.582994537353516","6.777788906097412","6.777788906097412","6.777788906097412"
"31","6.425936050415039","6.425936050415039","6.425936050415039","6.706624622344971","6.706624622344971","6.706624622344971"
"34","6.253625011444091","6.253625011444091","6.253625011444091","6.69084545135498","6.69084545135498","6.69084545135498"
"37","6.084313869476318","6.084313869476318","6.084313869476318","6.653145618438721","6.653145618438721","6.653145618438721"
"40","5.954837532043457","5.954837532043457","5.954837532043457","6.630546779632568","6.630546779632568","6.630546779632568"
"43","5.847988300323486","5.847988300323486","5.847988300323486","6.611237201690674","6.611237201690674","6.611237201690674"
"46","5.774472713470459","5.774472713470459","5.774472713470459","6.599296398162842","6.599296398162842","6.599296398162842"
"49","5.68783124923706","5.68783124923706","5.68783124923706","6.592368297576904","6.592368297576904","6.592368297576904"
"52","5.61931547164917","5.61931547164917","5.61931547164917","6.5799587059021","6.5799587059021","6.5799587059021"
"55","5.556154003143311","5.556154003143311","5.556154003143311","6.5683451271057125","6.5683451271057125","6.5683451271057125"
"58","5.505595359802246","5.505595359802246","5.505595359802246","6.539650478363037","6.539650478363037","6.539650478363037"
"61","5.446316223144532","5.446316223144532","5.446316223144532","6.4293614196777344","6.4293614196777344","6.4293614196777344"
"64","5.384191703796387","5.384191703796387","5.384191703796387","6.2689351463317875","6.2689351463317875","6.2689351463317875"
"67","5.339772624969482","5.339772624969482","5.339772624969482","6.157729663848877","6.157729663848877","6.157729663848877"
"70","5.283971195220947","5.283971195220947","5.283971195220947","6.045061798095703","6.045061798095703","6.045061798095703"
"73","5.24111162185669","5.24111162185669","5.24111162185669","5.9474765586853025","5.9474765586853025","5.9474765586853025"
"76","5.1889404296875","5.1889404296875","5.1889404296875","5.875884227752685","5.875884227752685","5.875884227752685"
"79","5.145397891998291","5.145397891998291","5.145397891998291","5.80717622756958","5.80717622756958","5.80717622756958"
"82","5.105048179626465","5.105048179626465","5.105048179626465","5.741442012786865","5.741442012786865","5.741442012786865"
"85","5.067249202728272","5.067249202728272","5.067249202728272","5.683974838256836","5.683974838256836","5.683974838256836"
"88","5.02694845199585","5.02694845199585","5.02694845199585","5.633302688598633","5.633302688598633","5.633302688598633"
"91","4.989262104034424","4.989262104034424","4.989262104034424","5.593188648223877","5.593188648223877","5.593188648223877"
"94","4.954775352478027","4.954775352478027","4.954775352478027","5.550406398773194","5.550406398773194","5.550406398773194"
"97","4.9169628715515135","4.9169628715515135","4.9169628715515135","5.509235229492187","5.509235229492187","5.509235229492187"
"100","4.886613540649414","4.886613540649414","4.886613540649414","5.471569786071777","5.471569786071777","5.471569786071777"
"103","4.850357570648193","4.850357570648193","4.850357570648193","5.435255012512207","5.435255012512207","5.435255012512207"
"106","4.825284557342529","4.825284557342529","4.825284557342529","5.403908214569092","5.403908214569092","5.403908214569092"
"109","4.799974060058593","4.799974060058593","4.799974060058593","5.37170597076416","5.37170597076416","5.37170597076416"
"112","4.76788330078125","4.76788330078125","4.76788330078125","5.340789966583252","5.340789966583252","5.340789966583252"
"115","4.746011447906494","4.746011447906494","4.746011447906494","5.315150508880615","5.315150508880615","5.315150508880615"
"118","4.718334465026856","4.718334465026856","4.718334465026856","5.287156143188477","5.287156143188477","5.287156143188477"
"121","4.695190563201904","4.695190563201904","4.695190563201904","5.261693210601806","5.261693210601806","5.261693210601806"
"124","4.669501800537109","4.669501800537109","4.669501800537109","5.238501110076904","5.238501110076904","5.238501110076904"
"127","4.648417797088623","4.648417797088623","4.648417797088623","5.216971073150635","5.216971073150635","5.216971073150635"
"130","4.630889396667481","4.630889396667481","4.630889396667481","5.19397912979126","5.19397912979126","5.19397912979126"
"133","4.609968299865723","4.609968299865723","4.609968299865723","5.173319778442383","5.173319778442383","5.173319778442383"
"136","4.590610542297363","4.590610542297363","4.590610542297363","5.15317663192749","5.15317663192749","5.15317663192749"
"139","4.572004547119141","4.572004547119141","4.572004547119141","5.138610076904297","5.138610076904297","5.138610076904297"
"142","4.55337664604187","4.55337664604187","4.55337664604187","5.117496242523194","5.117496242523194","5.117496242523194"
"145","4.538160781860352","4.538160781860352","4.538160781860352","5.10247760772705","5.10247760772705","5.10247760772705"
"148","4.522627429962158","4.522627429962158","4.522627429962158","5.08947265625","5.08947265625","5.08947265625"
"151","4.506749706268311","4.506749706268311","4.506749706268311","5.0757734489440915","5.0757734489440915","5.0757734489440915"
"154","4.4926180744171145","4.4926180744171145","4.4926180744171145","5.0588410949707034","5.0588410949707034","5.0588410949707034"
"157","4.48240442276001","4.48240442276001","4.48240442276001","5.048413295745849","5.048413295745849","5.048413295745849"
"160","4.465697059631347","4.465697059631347","4.465697059631347","5.032978096008301","5.032978096008301","5.032978096008301"
"163","4.457183074951172","4.457183074951172","4.457183074951172","5.021307830810547","5.021307830810547","5.021307830810547"
"166","4.443267793655395","4.443267793655395","4.443267793655395","5.009771404266357","5.009771404266357","5.009771404266357"
"169","4.431298151016235","4.431298151016235","4.431298151016235","4.997924270629883","4.997924270629883","4.997924270629883"
"172","4.423489952087403","4.423489952087403","4.423489952087403","4.990208930969239","4.990208930969239","4.990208930969239"
"175","4.413525562286377","4.413525562286377","4.413525562286377","4.976513767242432","4.976513767242432","4.976513767242432"
"178","4.401040935516358","4.401040935516358","4.401040935516358","4.969363517761231","4.969363517761231","4.969363517761231"
"181","4.396734838485718","4.396734838485718","4.396734838485718","4.959787788391114","4.959787788391114","4.959787788391114"
"184","4.387882452011109","4.387882452011109","4.387882452011109","4.9499431991577145","4.9499431991577145","4.9499431991577145"
"187","4.380155487060547","4.380155487060547","4.380155487060547","4.940620040893554","4.940620040893554","4.940620040893554"
"190","4.372850847244263","4.372850847244263","4.372850847244263","4.935158805847168","4.935158805847168","4.935158805847168"
"193","4.362646360397338","4.362646360397338","4.362646360397338","4.929478950500489","4.929478950500489","4.929478950500489"
"196","4.359450092315674","4.359450092315674","4.359450092315674","4.921752948760986","4.921752948760986","4.921752948760986"
"199","4.346512231826782","4.346512231826782","4.346512231826782","4.916537799835205","4.916537799835205","4.916537799835205"
"202","4.345841445922852","4.345841445922852","4.345841445922852","4.908361721038818","4.908361721038818","4.908361721038818"
"205","4.3356483268737795","4.3356483268737795","4.3356483268737795","4.899651031494141","4.899651031494141","4.899651031494141"
"208","4.333453416824341","4.333453416824341","4.333453416824341","4.896200428009033","4.896200428009033","4.896200428009033"
"211","4.329647989273071","4.329647989273071","4.329647989273071","4.891784038543701","4.891784038543701","4.891784038543701"
"214","4.321416711807251","4.321416711807251","4.321416711807251","4.885673446655273","4.885673446655273","4.885673446655273"
"217","4.317849111557007","4.317849111557007","4.317849111557007","4.8818567276000975","4.8818567276000975","4.8818567276000975"
"220","4.313807744979858","4.313807744979858","4.313807744979858","4.873650074005127","4.873650074005127","4.873650074005127"
"223","4.30961763381958","4.30961763381958","4.30961763381958","4.869896068572998","4.869896068572998","4.869896068572998"
"226","4.305639972686768","4.305639972686768","4.305639972686768","4.8647206687927245","4.8647206687927245","4.8647206687927245"
"229","4.298164129257202","4.298164129257202","4.298164129257202","4.860581474304199","4.860581474304199","4.860581474304199"
"232","4.29784704208374","4.29784704208374","4.29784704208374","4.858143463134765","4.858143463134765","4.858143463134765"
"235","4.2982984638214115","4.2982984638214115","4.2982984638214115","4.854237499237061","4.854237499237061","4.854237499237061"
"238","4.292137937545776","4.292137937545776","4.292137937545776","4.852940769195556","4.852940769195556","4.852940769195556"
"241","4.286077604293824","4.286077604293824","4.286077604293824","4.8497014999389645","4.8497014999389645","4.8497014999389645"
"244","4.280808582305908","4.280808582305908","4.280808582305908","4.8428654289245605","4.8428654289245605","4.8428654289245605"
"247","4.280011243820191","4.280011243820191","4.280011243820191","4.844341983795166","4.844341983795166","4.844341983795166"
"250","4.280021934509278","4.280021934509278","4.280021934509278","4.8402391624450685","4.8402391624450685","4.8402391624450685"
"253","4.278671836853027","4.278671836853027","4.278671836853027","4.838202285766601","4.838202285766601","4.838202285766601"
"256","4.272589712142945","4.272589712142945","4.272589712142945","4.834696025848388","4.834696025848388","4.834696025848388"
"259","4.270838479995728","4.270838479995728","4.270838479995728","4.834917106628418","4.834917106628418","4.834917106628418"
"262","4.267666521072388","4.267666521072388","4.267666521072388","4.827509880065918","4.827509880065918","4.827509880065918"
"265","4.26619478225708","4.26619478225708","4.26619478225708","4.828750648498535","4.828750648498535","4.828750648498535"
"268","4.26398473739624","4.26398473739624","4.26398473739624","4.824637451171875","4.824637451171875","4.824637451171875"
"271","4.265620222091675","4.265620222091675","4.265620222091675","4.820365734100342","4.820365734100342","4.820365734100342"
"274","4.258431558609009","4.258431558609009","4.258431558609009","4.822609901428223","4.822609901428223","4.822609901428223"
"277","4.259035816192627","4.259035816192627","4.259035816192627","4.818760757446289","4.818760757446289","4.818760757446289"
"280","4.25932035446167","4.25932035446167","4.25932035446167","4.815573024749756","4.815573024749756","4.815573024749756"
"283","4.252378568649292","4.252378568649292","4.252378568649292","4.815439701080322","4.815439701080322","4.815439701080322"
"286","4.255961561203003","4.255961561203003","4.255961561203003","4.812768211364746","4.812768211364746","4.812768211364746"
"289","4.254632387161255","4.254632387161255","4.254632387161255","4.809766960144043","4.809766960144043","4.809766960144043"
"292","4.255266256332398","4.255266256332398","4.255266256332398","4.810815334320068","4.810815334320068","4.810815334320068"
"295","4.24635232925415","4.24635232925415","4.24635232925415","4.811127414703369","4.811127414703369","4.811127414703369"
"298","4.246784257888794","4.246784257888794","4.246784257888794","4.807673797607422","4.807673797607422","4.807673797607422"