"Step","edited_3_scripts_200 - train_loss","edited_3_scripts_200 - train_loss__MIN","edited_3_scripts_200 - train_loss__MAX","normal_scripts_200 - train_loss","normal_scripts_200 - train_loss__MIN","normal_scripts_200 - train_loss__MAX"
"1","12.118685264587402","12.118685264587402","12.118685264587402","9.567166481018067","9.567166481018067","9.567166481018067"
"4","9.614477787017822","9.614477787017822","9.614477787017822","8.382363090515137","8.382363090515137","8.382363090515137"
"7","8.672417373657227","8.672417373657227","8.672417373657227","7.908418636322022","7.908418636322022","7.908418636322022"
"10","8.111871871948242","8.111871871948242","8.111871871948242","7.620339584350586","7.620339584350586","7.620339584350586"
"13","7.89559009552002","7.89559009552002","7.89559009552002","7.45509443283081","7.45509443283081","7.45509443283081"
"16","7.772731781005859","7.772731781005859","7.772731781005859","7.369219245910645","7.369219245910645","7.369219245910645"
"19","7.4651859092712405","7.4651859092712405","7.4651859092712405","7.306549243927002","7.306549243927002","7.306549243927002"
"22","7.293950996398926","7.293950996398926","7.293950996398926","7.2288409614562985","7.2288409614562985","7.2288409614562985"
"25","7.330845756530762","7.330845756530762","7.330845756530762","7.233997955322265","7.233997955322265","7.233997955322265"
"28","7.204713821411133","7.204713821411133","7.204713821411133","7.177462368011475","7.177462368011475","7.177462368011475"
"31","7.0484599685668945","7.0484599685668945","7.0484599685668945","7.136749382019043","7.136749382019043","7.136749382019043"
"34","6.883184967041015","6.883184967041015","6.883184967041015","7.0982404136657715","7.0982404136657715","7.0982404136657715"
"37","6.751016159057617","6.751016159057617","6.751016159057617","7.0915814399719235","7.0915814399719235","7.0915814399719235"
"40","6.601254863739014","6.601254863739014","6.601254863739014","7.079358978271484","7.079358978271484","7.079358978271484"
"43","6.479590854644775","6.479590854644775","6.479590854644775","7.065049610137939","7.065049610137939","7.065049610137939"
"46","6.36099157333374","6.36099157333374","6.36099157333374","7.0419384765625","7.0419384765625","7.0419384765625"
"49","6.240107898712158","6.240107898712158","6.240107898712158","6.926119537353515","6.926119537353515","6.926119537353515"
"52","6.1217334175109865","6.1217334175109865","6.1217334175109865","6.75971155166626","6.75971155166626","6.75971155166626"
"55","6.024035091400147","6.024035091400147","6.024035091400147","6.637708225250244","6.637708225250244","6.637708225250244"
"58","5.924226493835449","5.924226493835449","5.924226493835449","6.520880832672119","6.520880832672119","6.520880832672119"
"61","5.828884220123291","5.828884220123291","5.828884220123291","6.413559799194336","6.413559799194336","6.413559799194336"
"64","5.747721481323242","5.747721481323242","5.747721481323242","6.304843826293945","6.304843826293945","6.304843826293945"
"67","5.665310249328614","5.665310249328614","5.665310249328614","6.212966079711914","6.212966079711914","6.212966079711914"
"70","5.588022193908691","5.588022193908691","5.588022193908691","6.122429828643799","6.122429828643799","6.122429828643799"
"73","5.518602066040039","5.518602066040039","5.518602066040039","6.049138946533203","6.049138946533203","6.049138946533203"
"76","5.451948223114013","5.451948223114013","5.451948223114013","5.965365734100342","5.965365734100342","5.965365734100342"
"79","5.384475650787354","5.384475650787354","5.384475650787354","5.893040256500244","5.893040256500244","5.893040256500244"
"82","5.322229690551758","5.322229690551758","5.322229690551758","5.830078182220459","5.830078182220459","5.830078182220459"
"85","5.265148639678955","5.265148639678955","5.265148639678955","5.766012058258057","5.766012058258057","5.766012058258057"
"88","5.207346687316894","5.207346687316894","5.207346687316894","5.7085123634338375","5.7085123634338375","5.7085123634338375"
"91","5.156263561248779","5.156263561248779","5.156263561248779","5.648779487609863","5.648779487609863","5.648779487609863"
"94","5.105653839111328","5.105653839111328","5.105653839111328","5.583462028503418","5.583462028503418","5.583462028503418"
"97","5.059758281707763","5.059758281707763","5.059758281707763","5.537523460388184","5.537523460388184","5.537523460388184"
"100","5.014064884185791","5.014064884185791","5.014064884185791","5.484212245941162","5.484212245941162","5.484212245941162"
"103","4.9725068664550784","4.9725068664550784","4.9725068664550784","5.4410123443603515","5.4410123443603515","5.4410123443603515"
"106","4.927173271179199","4.927173271179199","4.927173271179199","5.397944030761718","5.397944030761718","5.397944030761718"
"109","4.887502002716064","4.887502002716064","4.887502002716064","5.352308845520019","5.352308845520019","5.352308845520019"
"112","4.853362197875977","4.853362197875977","4.853362197875977","5.305354385375977","5.305354385375977","5.305354385375977"
"115","4.817392883300781","4.817392883300781","4.817392883300781","5.270345001220703","5.270345001220703","5.270345001220703"
"118","4.783954982757568","4.783954982757568","4.783954982757568","5.232572116851807","5.232572116851807","5.232572116851807"
"121","4.750602493286133","4.750602493286133","4.750602493286133","5.195354900360107","5.195354900360107","5.195354900360107"
"124","4.724293518066406","4.724293518066406","4.724293518066406","5.166941242218018","5.166941242218018","5.166941242218018"
"127","4.694167385101318","4.694167385101318","4.694167385101318","5.133613319396972","5.133613319396972","5.133613319396972"
"130","4.666714878082275","4.666714878082275","4.666714878082275","5.103550148010254","5.103550148010254","5.103550148010254"
"133","4.6451849937438965","4.6451849937438965","4.6451849937438965","5.076950130462646","5.076950130462646","5.076950130462646"
"136","4.616571235656738","4.616571235656738","4.616571235656738","5.053598175048828","5.053598175048828","5.053598175048828"
"139","4.598287563323975","4.598287563323975","4.598287563323975","5.026033916473389","5.026033916473389","5.026033916473389"
"142","4.57358003616333","4.57358003616333","4.57358003616333","5.001744823455811","5.001744823455811","5.001744823455811"
"145","4.553163299560547","4.553163299560547","4.553163299560547","4.9772951126098635","4.9772951126098635","4.9772951126098635"
"148","4.531799869537354","4.531799869537354","4.531799869537354","4.960664882659912","4.960664882659912","4.960664882659912"
"151","4.515221385955811","4.515221385955811","4.515221385955811","4.942407588958741","4.942407588958741","4.942407588958741"
"154","4.498880634307861","4.498880634307861","4.498880634307861","4.921986618041992","4.921986618041992","4.921986618041992"
"157","4.480498943328858","4.480498943328858","4.480498943328858","4.905042552947998","4.905042552947998","4.905042552947998"
"160","4.471120862960816","4.471120862960816","4.471120862960816","4.887120933532715","4.887120933532715","4.887120933532715"
"163","4.452557373046875","4.452557373046875","4.452557373046875","4.868320999145507","4.868320999145507","4.868320999145507"
"166","4.4414266872406","4.4414266872406","4.4414266872406","4.852086200714111","4.852086200714111","4.852086200714111"
"169","4.4264945125579835","4.4264945125579835","4.4264945125579835","4.837554969787598","4.837554969787598","4.837554969787598"
"172","4.410331306457519","4.410331306457519","4.410331306457519","4.825477676391602","4.825477676391602","4.825477676391602"
"175","4.398739509582519","4.398739509582519","4.398739509582519","4.813493499755859","4.813493499755859","4.813493499755859"
"178","4.390672473907471","4.390672473907471","4.390672473907471","4.8034615898132325","4.8034615898132325","4.8034615898132325"
"181","4.378841466903687","4.378841466903687","4.378841466903687","4.789182586669922","4.789182586669922","4.789182586669922"
"184","4.369892501831055","4.369892501831055","4.369892501831055","4.779511280059815","4.779511280059815","4.779511280059815"
"187","4.358254861831665","4.358254861831665","4.358254861831665","4.7688166046142575","4.7688166046142575","4.7688166046142575"
"190","4.352759256362915","4.352759256362915","4.352759256362915","4.757887516021729","4.757887516021729","4.757887516021729"
"193","4.3442227268219","4.3442227268219","4.3442227268219","4.751223545074463","4.751223545074463","4.751223545074463"
"196","4.334533948898315","4.334533948898315","4.334533948898315","4.740151157379151","4.740151157379151","4.740151157379151"
"199","4.3266805934906","4.3266805934906","4.3266805934906","4.728858757019043","4.728858757019043","4.728858757019043"
"202","4.324050302505493","4.324050302505493","4.324050302505493","4.720918006896973","4.720918006896973","4.720918006896973"
"205","4.314721899032593","4.314721899032593","4.314721899032593","4.715964984893799","4.715964984893799","4.715964984893799"
"208","4.30628999710083","4.30628999710083","4.30628999710083","4.706541595458984","4.706541595458984","4.706541595458984"
"211","4.301025295257569","4.301025295257569","4.301025295257569","4.700343723297119","4.700343723297119","4.700343723297119"
"214","4.295273170471192","4.295273170471192","4.295273170471192","4.694374294281006","4.694374294281006","4.694374294281006"
"217","4.29063383102417","4.29063383102417","4.29063383102417","4.687764701843261","4.687764701843261","4.687764701843261"
"220","4.2821768951416015","4.2821768951416015","4.2821768951416015","4.681471347808838","4.681471347808838","4.681471347808838"
"223","4.279831457138061","4.279831457138061","4.279831457138061","4.679502048492432","4.679502048492432","4.679502048492432"
"226","4.2734623050689695","4.2734623050689695","4.2734623050689695","4.6697996139526365","4.6697996139526365","4.6697996139526365"
"229","4.272172441482544","4.272172441482544","4.272172441482544","4.663804950714112","4.663804950714112","4.663804950714112"
"232","4.26603588104248","4.26603588104248","4.26603588104248","4.659137573242187","4.659137573242187","4.659137573242187"
"235","4.263233633041382","4.263233633041382","4.263233633041382","4.661233253479004","4.661233253479004","4.661233253479004"
"238","4.259657077789306","4.259657077789306","4.259657077789306","4.652108001708984","4.652108001708984","4.652108001708984"
"241","4.255772714614868","4.255772714614868","4.255772714614868","4.649702682495117","4.649702682495117","4.649702682495117"
"244","4.251417112350464","4.251417112350464","4.251417112350464","4.645651702880859","4.645651702880859","4.645651702880859"
"247","4.248781042098999","4.248781042098999","4.248781042098999","4.640596408843994","4.640596408843994","4.640596408843994"
"250","4.241371660232544","4.241371660232544","4.241371660232544","4.638573818206787","4.638573818206787","4.638573818206787"
"253","4.240346899032593","4.240346899032593","4.240346899032593","4.634993209838867","4.634993209838867","4.634993209838867"
"256","4.240694456100464","4.240694456100464","4.240694456100464","4.6319342041015625","4.6319342041015625","4.6319342041015625"
"259","4.238783187866211","4.238783187866211","4.238783187866211","4.62697925567627","4.62697925567627","4.62697925567627"
"262","4.234173011779785","4.234173011779785","4.234173011779785","4.625001544952393","4.625001544952393","4.625001544952393"
"265","4.232375164031982","4.232375164031982","4.232375164031982","4.620531024932862","4.620531024932862","4.620531024932862"
"268","4.230953598022461","4.230953598022461","4.230953598022461","4.618722686767578","4.618722686767578","4.618722686767578"
"271","4.225310907363892","4.225310907363892","4.225310907363892","4.617458229064941","4.617458229064941","4.617458229064941"
"274","4.2251405429840085","4.2251405429840085","4.2251405429840085","4.608447303771973","4.608447303771973","4.608447303771973"
"277","4.222806749343872","4.222806749343872","4.222806749343872","4.613634052276612","4.613634052276612","4.613634052276612"
"280","4.224296646118164","4.224296646118164","4.224296646118164","4.6108136558532715","4.6108136558532715","4.6108136558532715"
"283","4.2223373222351075","4.2223373222351075","4.2223373222351075","4.608919429779053","4.608919429779053","4.608919429779053"
"286","4.215435380935669","4.215435380935669","4.215435380935669","4.604238967895508","4.604238967895508","4.604238967895508"
"289","4.216121349334717","4.216121349334717","4.216121349334717","4.603886394500733","4.603886394500733","4.603886394500733"
"292","4.214479036331177","4.214479036331177","4.214479036331177","4.6034786415100095","4.6034786415100095","4.6034786415100095"
"295","4.213648643493652","4.213648643493652","4.213648643493652","4.601365928649902","4.601365928649902","4.601365928649902"
"298","4.212476663589477","4.212476663589477","4.212476663589477","4.599775428771973","4.599775428771973","4.599775428771973"